"","race","District","seas","est","lb","ub","agecat"
"1","Black/African American","Intervention","2014-15",48.6656756565442,36.6616469981582,63.345066164047,"all"
"2","Black/African American","Intervention","2015-16",18.5814397961351,11.5022040986021,28.403704550633,"all"
"3","Black/African American","Intervention","2016-17",83.1740638493665,67.2131100013186,101.783989637602,"all"
"4","Black/African American","Intervention","2017-18",111.48863877681,92.87301347771,132.741428264705,"all"
"5","Black/African American","Comparison","2014-15",54.0669132117909,34.9892554939106,79.8134295670978,"all"
"6","Black/African American","Comparison","2015-16",19.4640887562447,8.90022080360374,36.9489034179355,"all"
"7","Black/African American","Comparison","2016-17",82.1817080819222,58.1566678457496,112.800815154436,"all"
"8","Black/African American","Comparison","2017-18",134.085944765241,102.802924990101,171.892129751392,"all"
"9","Hispanic","Intervention","2014-15",19.2683796256154,11.7696268537664,29.7584495724102,"all"
"10","Hispanic","Intervention","2015-16",18.3049606443346,11.0207820691992,28.5854635216679,"all"
"11","Hispanic","Intervention","2016-17",26.9757314758615,17.9251776601034,38.9874427423415,"all"
"12","Hispanic","Intervention","2017-18",32.7562453635462,22.6846521427134,45.773569655388,"all"
"13","Hispanic","Comparison","2014-15",36.0427541635595,24.1383981326721,51.7634072067942,"all"
"14","Hispanic","Comparison","2015-16",17.3999502858563,9.51271473564579,29.1941599823957,"all"
"15","Hispanic","Comparison","2016-17",36.0427541635595,24.1383981326721,51.7634072067942,"all"
"16","Hispanic","Comparison","2017-18",43.4998757146408,30.2992572738252,60.4977968792979,"all"
"17","White/API","Intervention","2014-15",24.6786796110322,18.9210021479099,31.6369534869566,"all"
"18","White/API","Intervention","2015-16",13.1354262445816,9.04182302709076,18.4470221467941,"all"
"19","White/API","Intervention","2016-17",34.6297600993516,27.7370182326959,42.7156811445032,"all"
"20","White/API","Intervention","2017-18",35.8238897579499,28.8066378209148,44.0336425292886,"all"
"21","White/API","Comparison","2014-15",32.5518670820905,24.0820504679026,43.0352945896925,"all"
"22","White/API","Comparison","2015-16",14.6151239960406,9.15922039755104,22.12747336867,"all"
"23","White/API","Comparison","2016-17",60.4534674381681,48.6733609449548,74.223461868841,"all"
"24","White/API","Comparison","2017-18",73.0756199802032,60.0592723610704,88.075883734579,"all"
