CDS,school,districtcode,county,district,charter,stype,grades,latitude,longitude,enrolled,mn.class.size,per.Not.reported,per.NativeAmer,per.Asian,per.PI,per.Filipino,per.Hispanic,per.AfAmer,per.White,per.Twoplus,per.not_hsg,per.hsg,per.some_col,per.col_grad,per.grad_sch,per.englearn,per.freelunch,API13,API12,mean.cst.ela,per.adv.ela,per.basic.ela,mean.cst.m,per.adv.m,per.basic.m
1.61119E+12,Ruby Bridges Elementary,11190,Alameda,Alameda Unified,N,Elementary Schools (Public),K-5,37.781807,-122.28614,616,18.79411765,0.162337662,0.974025974,21.91558442,2.597402597,7.467532468,14.93506494,29.70779221,19.31818182,2.922077922,10,30,30,22,8,33.6038961,53.08,808,835,365.275,27,23.5,396.625,40.75,18.5
1.6112E+12,Donald D. Lum Elementary,11196,Alameda,Alameda Unified,N,Elementary Schools (Public),K-5,37.762208,-122.25898,499,20.92,0.601202405,0.400801603,34.66933868,1.002004008,10.82164329,13.62725451,7.014028056,24.04809619,7.815631263,5,12,23,43,16,34.66933868,31.06,876,894,386.1,41.25,18.5,428.25,56,12.75
1.6112E+12,Edison Elementary,11196,Alameda,Alameda Unified,N,Elementary Schools (Public),K-5,37.764438,-122.23476,478,23.9,0,0.418410042,12.9707113,0.418410042,4.184100418,10.46025105,2.092050209,63.59832636,5.857740586,2,5,13,42,38,10.66945607,9.83,948,942,416.75,65.75,8.5,450.425,68,8.75
1.6112E+12,Frank Otis Elementary,11196,Alameda,Alameda Unified,N,Elementary Schools (Public),K-5,37.754042,-122.23798,537,19.88888889,0,0,21.41527002,1.117318436,4.655493482,16.20111732,4.096834264,45.43761639,7.076350093,3,10,11,45,31,19.55307263,14.9,913,906,394.3,48.5,14.75,424.95,52.5,11.75
1.6112E+12,Franklin Elementary,11196,Alameda,Alameda Unified,N,Elementary Schools (Public),K-5,37.769011,-122.26162,314,22.42857143,0,0.318471338,14.01273885,0.955414013,3.184713376,13.69426752,5.732484076,54.77707006,7.324840764,3,9,17,41,30,11.46496815,16.88,902,916,399.725,53.25,9.75,425.275,53,14.75
1.6112E+12,Henry Haight Elementary,11196,Alameda,Alameda Unified,N,Elementary Schools (Public),K-5,37.769708,-122.25081,414,21.95,0,0.241545894,33.33333333,1.690821256,9.661835749,21.25603865,14.49275362,15.4589372,3.8647343,10,26,30,27,8,39.37198068,50,854,831,367.725,31.75,21.75,394.9,36.25,14.5
1.6112E+12,William G. Paden Elementary,11196,Alameda,Alameda Unified,N,Elementary Schools (Public),K-5,37.771594,-122.28446,330,17.36842105,0,0.303030303,19.6969697,1.818181818,11.81818182,16.96969697,16.96969697,26.96969697,5.454545455,11,20,29,28,13,31.51515152,40.91,851,850,375.275,31.75,24.25,399.55,45.25,15
1.6112E+12,Amelia Earhart Elementary,11196,Alameda,Alameda Unified,N,Elementary Schools (Public),K-5,37.745266,-122.23931,591,22,0,0.338409475,34.68697124,0.338409475,4.399323181,12.85956007,5.24534687,29.27241963,12.85956007,3,7,20,42,28,19.62774958,6.94,935,947,406.95,57,9.25,456.85,69.75,5
1.61144E+12,Rosa Parks Environmental Science Magnet,11436,Alameda,Berkeley Unified,N,Elementary Schools (Public),K-5,37.865671,-122.29472,453,19.48148148,1.766004415,0,5.518763797,0.220750552,0,30.02207506,9.271523179,40.39735099,12.80353201,10,10,14,25,42,16.33554084,33.55,904,885,392.875,47.75,15.75,418.525,49.25,11.5
1.61144E+12,Cragmont Elementary,11436,Alameda,Berkeley Unified,N,Elementary Schools (Public),K-5,37.891953,-122.26383,416,20.25,0.961538462,0.480769231,3.846153846,0,0,26.92307692,18.26923077,38.46153846,11.05769231,7,7,19,20,47,15.625,34.62,855,874,390,45.5,17.25,429.475,57,11.75
1.61144E+12,Emerson Elementary,11436,Alameda,Berkeley Unified,N,Elementary Schools (Public),K-5,37.861516,-122.25111,288,20.57142857,1.041666667,0,6.944444444,0.347222222,0.347222222,21.875,21.875,33.33333333,14.23611111,4,16,22,20,38,10.76388889,45.49,851,869,384.75,39.5,21.5,417.3,48.25,21.5
1.61144E+12,Jefferson Elementary,11436,Alameda,Berkeley Unified,N,Elementary Schools (Public),K-5,37.878945,-122.28523,335,22.33333333,0.895522388,0.597014925,7.76119403,0,0.597014925,18.20895522,14.32835821,41.49253731,16.11940299,6,8,17,25,45,9.850746269,34.03,916,918,403.85,55.25,12.5,451.925,65.25,8
1.61144E+12,Leconte Elementary,11436,Alameda,Berkeley Unified,N,Elementary Schools (Public),K-5,37.857319,-122.26231,337,19.83333333,0.59347181,0.890207715,6.231454006,0,0,34.71810089,19.28783383,25.22255193,13.05637982,10,11,20,28,31,24.03560831,40.95,830,816,360.425,28,24,401.3,44,20.25
1.61144E+12,Malcolm X Elementary,11436,Alameda,Berkeley Unified,N,Elementary Schools (Public),K-5,37.852171,-122.27373,480,21.91666667,1.041666667,0,6.666666667,0,0.416666667,11.45833333,24.16666667,40.41666667,15.83333333,5,7,17,28,42,9.791666667,33.54,889,870,392.35,50,12.75,423.3,51.25,11
1.61144E+12,Oxford Elementary,11436,Alameda,Berkeley Unified,N,Elementary Schools (Public),K-5,37.887816,-122.26825,315,22.5,0.317460317,0.317460317,6.349206349,0.952380952,0,15.23809524,20.63492063,39.68253968,16.50793651,3,11,19,27,41,11.11111111,39.37,889,924,402.775,55.5,13.5,465.85,71.25,8
1.61144E+12,Thousand Oaks Elementary,11436,Alameda,Berkeley Unified,N,Elementary Schools (Public),K-5,37.893098,-122.28037,450,21.375,0.888888889,0.222222222,7.333333333,0.666666667,0.222222222,40.44444444,9.333333333,31.33333333,9.555555556,10,10,21,21,38,24.66666667,39.78,868,876,382.775,39,21.25,415.025,48,16.25
1.61144E+12,Washington Elementary,11436,Alameda,Berkeley Unified,N,Elementary Schools (Public),K-5,37.866965,-122.27253,447,20.58333333,2.460850112,0.223713647,8.501118568,0.447427293,1.118568233,13.42281879,15.8836689,47.65100671,10.29082774,7,8,12,27,47,12.75167785,28.41,869,826,379.525,37.75,19,411.825,48,13.25
1.61144E+12,Berkeley Arts Magnet at Whittier,11436,Alameda,Berkeley Unified,N,Elementary Schools (Public),K-5,37.876917,-122.27126,404,21.26315789,2.475247525,0,7.425742574,0.247524752,0.742574257,18.06930693,15.59405941,37.62376238,17.82178218,3,11,17,30,38,13.11881188,38.61,873,897,389.85,50.25,16.25,427.575,56,11.25
1.61144E+12,John Muir Elementary,11436,Alameda,Berkeley Unified,N,Elementary Schools (Public),K-5,37.857208,-122.24596,260,20,1.153846154,0.384615385,5.769230769,0,1.538461538,17.30769231,27.69230769,33.46153846,12.69230769,5,9,31,27,27,15.38461538,42.31,782,823,370.325,34.75,26.25,384.075,33.75,18.75
1.61177E+12,John Blacow Elementary,11766,Alameda,Fremont Unified,N,Elementary Schools (Public),K-6,37.528078,-121.97607,511,22.2173913,1.174168297,1.369863014,12.32876712,1.761252446,4.500978474,58.70841487,4.69667319,10.56751468,4.892367906,17,26,26,22,9,46.57534247,40.31,815,835,358.94,26.2,30,390.74,37,22.2
1.61177E+12,Brier Elementary,11766,Alameda,Fremont Unified,N,Elementary Schools (Public),K-6,37.539757,-121.98467,714,17.75,0.700280112,0.840336134,27.87114846,0.840336134,6.442577031,36.55462185,5.602240896,16.94677871,4.201680672,17,27,18,24,15,44.53781513,45.8,860,862,375.48,34.6,22.4,403.06,41.2,19.2
