"","district","race","n","prop"
"1","OUSD","White",188,0.0776538620404791
"2","OUSD","Black",398,0.164394878149525
"3","OUSD","Latino",869,0.358942585708385
"4","OUSD","Asian",611,0.252375051631557
"5","OUSD","Native American",17,0.00702189178025609
"6","OUSD","Pacific islander",32,0.0132176786451879
"7","OUSD","Multi",243,0.100371747211896
"8","OUSD","Missing",63,0.0260223048327138
"9","WCCUSD","White",324,0.079295154185022
"10","WCCUSD","Black",402,0.0983847283406755
"11","WCCUSD","Latino",2055,0.502936857562408
"12","WCCUSD","Asian",690,0.168869309838473
"13","WCCUSD","Native American",24,0.00587371512481645
"14","WCCUSD","Pacific islander",47,0.0115026921194322
"15","WCCUSD","Multi",454,0.111111111111111
"16","WCCUSD","Missing",90,0.0220264317180617
